pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,month,day
CU,2024-07-01,79.1,-1.81,6.02,"Rodríguez, Yariel",663550,684320,,ball,,,,,11,Trey Cabbage lines out to left fielder Daulton Varsho.,R,L,R,TOR,HOU,B,,,0,0,2024,1.42,-0.68,-1.3,3.33,,,,1,3,Top,,,,,672386,,,-1.539772523915251,-115.0958278582847,2.2753118394541207,12.82508742736298,24.373537958470248,-38.85777459516724,3.6,1.6,,,,78.7,2862,6.3,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,54.18,,,,,,,,17,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,41,0.0,0.025,,,7,1
FF,2024-07-01,95.7,-1.69,5.8,"Rodríguez, Yariel",643289,684320,strikeout,swinging_strike,,,,,12,Mauricio Dubón strikes out swinging.,R,R,R,TOR,HOU,S,2,,1,2,2024,-0.26,0.75,0.55,3.73,,,,0,3,Top,,,,,672386,,,6.499423622791416,-139.25970426423626,-1.525620135562348,-4.908185673734132,31.753112648036726,-22.348752706751583,3.34,1.53,,,,95.8,2391,6.4,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,54.1,,0.0,0.0,1,0,0,,16,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,202,0.025,-0.168,62.85443691036035,6.80885,7,1
SI,2024-07-01,95.5,-2.22,5.19,"Rodríguez, Yariel",643289,684320,,foul,,,,,11,Mauricio Dubón strikes out swinging.,R,R,R,TOR,HOU,S,,,1,1,2024,-1.54,0.53,-1.35,2.44,,,,0,3,Top,,,,,672386,,,5.780426112122464,-138.94650055151112,-2.8157110014006914,-21.22793094170863,31.378427565122266,-24.89335187277831,3.34,1.53,193,70.3,26,95.7,2274,6.4,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,54.1,,,,,,,,16,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,261,0.0,-0.047,65.76017733878204,6.65455,7,1
SI,2024-07-01,92.4,-2.39,5.18,"Rodríguez, Yariel",643289,684320,,foul,,,,,4,Mauricio Dubón strikes out swinging.,R,R,R,TOR,HOU,S,,,1,0,2024,-1.58,0.78,-0.36,2.68,,,,0,3,Top,,,,,672386,,,8.668444740417584,-134.29902091981813,-2.230647033725361,-21.03019472149832,30.376851761888744,-22.515178022710263,3.34,1.53,,,,92.7,2213,6.6,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,53.86,,,,,,,,16,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,292,0.0,-0.044,68.24582656997211,6.9925,7,1
FF,2024-07-01,94.3,-1.8,5.81,"Rodríguez, Yariel",643289,684320,,ball,,,,,14,Mauricio Dubón strikes out swinging.,R,R,R,TOR,HOU,B,,,0,0,2024,-0.45,1.12,1.04,2.0,,,,0,3,Top,,,,,672386,,,8.401417370123875,-136.94846337102365,-6.70905232975862,-7.496329893844599,30.11312119676284,-16.7076516438231,3.37,1.55,,,,94.6,2471,6.6,744914,684320,672386,687462,676914,676391,666182,662139,595281,543807,53.91,,,,,,,,16,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,200,0.0,0.032,,,7,1
FF,2024-07-01,96.9,-2.14,6.03,"Brown, Hunter",595281,686613,strikeout,swinging_strike,,,,,2,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,HOU,S,2,,2,2,2024,-0.47,1.31,-0.18,3.44,543807,662139,676914,2,2,Bot,,,,,673237,,,6.342243086757079,-140.88862448511762,-4.349110850771062,-7.740864337536856,33.87754535513892,-13.90605733775913,3.43,1.59,,,,97.1,2355,6.6,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.94,,0.0,0.0,1,0,0,,15,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,202,-0.075,-0.811,65.61754628089012,5.58931,7,1
FF,2024-07-01,96.7,-1.75,6.21,"Brown, Hunter",595281,686613,,ball,,,,,11,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,HOU,B,,,1,2,2024,-0.42,1.49,-0.35,5.68,543807,662139,676914,2,2,Bot,,,,,673237,,,4.72241761300705,-140.7219065070408,0.8115980311815292,-6.7543330847435925,35.4381404540633,-12.954553895429154,3.49,1.63,,,,96.7,2365,6.5,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.95,,,,,,,,15,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,193,0.0,0.163,,,7,1
FF,2024-07-01,97.4,-1.78,6.14,"Brown, Hunter",595281,686613,,ball,,,,,11,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,HOU,B,,,0,2,2024,-0.53,1.44,-0.57,4.48,543807,662139,676914,2,2,Bot,,,,,673237,,,4.477289288541163,-141.81337435437104,-2.2573159003190693,-8.131203877526108,33.19447591346469,-12.483433155498364,3.49,1.63,,,,98.0,2397,6.7,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.83,,,,,,,,15,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,201,0.0,0.07,,,7,1
FC,2024-07-01,94.0,-1.79,6.31,"Brown, Hunter",595281,686613,,foul,,,,,2,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,HOU,S,,,0,1,2024,0.45,0.93,-0.02,3.04,543807,662139,676914,2,2,Bot,,,,,673237,,,3.612989246210618,-136.79286440041005,-4.861456416017455,4.876449196963405,30.40245641118325,-19.575005619055755,3.43,1.59,226,74.4,29,94.6,2387,6.7,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.83,,,,,,,,15,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,190,0.0,-0.138,63.17113181734784,5.52929,7,1
CH,2024-07-01,89.2,-2.08,5.92,"Brown, Hunter",595281,686613,,swinging_strike,,,,,13,Kevin Kiermaier strikes out swinging.,R,L,R,TOR,HOU,S,,,0,0,2024,-1.13,0.6,-1.36,1.69,543807,662139,676914,2,2,Bot,,,,,673237,,,4.159509324924576,-129.81497214121572,-5.676406463975679,-13.606063153203149,27.503960477195164,-24.33929050982968,3.43,1.59,,,,89.5,1362,6.5,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,54.02,,,,,,,,15,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,225,0.0,-0.096,60.01733828723243,7.31121,7,1
FF,2024-07-01,97.7,-1.53,6.22,"Brown, Hunter",676391,686613,field_out,hit_into_play,,,,,11,Ernie Clement pops out to first baseman Jon Singleton on the infield fly rule.,R,R,R,TOR,HOU,X,3,popup,1,1,2024,-0.31,1.46,-0.16,3.54,543807,662139,676914,1,2,Bot,125.23,184.27,,,673237,,,4.443372021171375,-142.22557088403465,-5.157178734444518,-5.181569026138307,30.26310404332317,-11.37466825085836,3.41,1.56,43,82.2,77,98.8,2393,6.7,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.78,0.011,0.012,0.0,1,0,0,3,14,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,202,-0.077,-0.325,72.60140216384785,6.39983,7,1
FC,2024-07-01,92.4,-1.63,6.13,"Brown, Hunter",676391,686613,,ball,,,,,14,Ernie Clement pops out to first baseman Jon Singleton on the infield fly rule.,R,R,R,TOR,HOU,B,,,0,1,2024,0.18,0.53,0.7,1.23,543807,662139,676914,1,2,Bot,,,,,673237,,,5.594638876991247,-134.35502632039262,-7.930453490305258,1.056226825375318,26.998947194790183,-24.25864167886614,3.33,1.54,,,,93.5,2297,6.8,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.68,,,,,,,,14,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,177,0.0,0.048,,,7,1
FF,2024-07-01,97.7,-1.55,6.1,"Brown, Hunter",676391,686613,,called_strike,,,,,8,Ernie Clement pops out to first baseman Jon Singleton on the infield fly rule.,R,R,R,TOR,HOU,S,,,0,0,2024,-0.46,1.43,0.16,1.91,543807,662139,676914,1,2,Bot,,,,,673237,,,5.747305124986145,-141.98403553062175,-9.230843852270253,-7.530663398303009,30.031324623338904,-10.869390776431516,3.37,1.57,,,,99.3,2346,7.1,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.4,,,,,,,,14,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,204,0.0,-0.095,,,7,1
SI,2024-07-01,95.9,-1.61,6.13,"Brown, Hunter",676914,686613,walk,ball,,,,,11,Davis Schneider walks.,R,R,R,TOR,HOU,B,,,3,1,2024,-1.18,1.11,-0.38,3.58,543807,662139,,1,2,Bot,,,,,673237,,,5.962165358879912,-139.6627567540444,-3.718733550835227,-16.781191384805144,29.537677574013628,-16.924593671531188,3.01,1.45,,,,96.7,2189,6.6,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.92,,0.691353,0.7,1,0,0,,13,5,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,209,0.01,0.151,,,7,1
FC,2024-07-01,93.9,-1.49,6.24,"Brown, Hunter",676914,686613,,ball,,,,,12,Davis Schneider walks.,R,R,R,TOR,HOU,B,,,2,1,2024,0.18,0.53,1.83,2.65,543807,662139,,1,2,Bot,,,,,673237,,,8.316106552129867,-136.524728565338,-4.797811734577168,0.3585914532667571,31.177714372233844,-24.606665215995918,3.05,1.49,,,,95.1,2228,7.1,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.4,,,,,,,,13,4,Cutter,0,0,0,0,0,0,0,0,Strategic,Standard,188,0.0,0.117,,,7,1
SI,2024-07-01,96.0,-1.61,6.15,"Brown, Hunter",676914,686613,,ball,,,,,11,Davis Schneider walks.,R,R,R,TOR,HOU,B,,,1,1,2024,-1.26,1.04,-0.3,3.76,543807,662139,,1,2,Bot,,,,,673237,,,6.359119906369565,-139.72378292310034,-3.0824648569635267,-17.975452410447257,32.09779483348514,-18.07537795382613,3.12,1.48,,,,96.4,2193,6.6,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.94,,,,,,,,13,3,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,216,0.0,0.019,,,7,1
SI,2024-07-01,94.9,-1.69,6.07,"Brown, Hunter",676914,686613,,called_strike,,,,,12,Davis Schneider walks.,R,R,R,TOR,HOU,S,,,1,0,2024,-1.12,0.91,0.36,3.44,543807,662139,,1,2,Bot,,,,,673237,,,7.909918879263693,-138.03647067039304,-3.3078862400970883,-16.03141290712707,28.86898713234325,-19.91096974835149,3.15,1.48,,,,95.6,2120,6.6,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.93,,,,,,,,13,2,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,209,0.0,-0.103,,,7,1
SI,2024-07-01,95.4,-1.58,6.13,"Brown, Hunter",676914,686613,,ball,,,,,11,Davis Schneider walks.,R,R,R,TOR,HOU,B,,,0,0,2024,-1.09,1.09,-0.75,4.39,543807,662139,,1,2,Bot,,,,,673237,,,4.665659801154173,-138.8517463066326,-1.4025015021162586,-15.10277756638734,31.125530929906585,-17.936901567369187,3.12,1.48,,,,95.9,2044,6.6,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.92,,,,,,,,13,1,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,205,0.0,0.012,,,7,1
SI,2024-07-01,94.8,-1.74,6.08,"Brown, Hunter",672386,686613,field_out,hit_into_play,,,,,7,"Alejandro Kirk grounds out, pitcher Hunter Brown to first baseman Jon Singleton.   George Springer to 3rd.    Daulton Varsho to 2nd.",R,R,R,TOR,HOU,X,1,ground_ball,2,2,2024,-1.06,1.08,-0.36,1.55,,543807,662139,0,2,Bot,129.81,180.2,,,673237,,,6.020038533761508,-137.72286776215657,-8.643225163899482,-14.845573022028576,28.84704170799761,-16.745625964067077,3.06,1.47,5,69.4,-14,95.6,2050,6.7,744914,686613,673237,572138,643289,608324,665161,676801,676694,663550,53.81,0.063,0.039,0.0,1,0,0,2,12,7,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,210,0.0,-0.544,70.7786242695852,6.97698,7,1
